"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2014","4,084.3","4,034.5","4,109.2","4,034.5","549.34K","0.61%"
"02/11/2014","4,059.4","4,034.5","4,059.4","4,009.6","1.74M","0.62%"
"02/10/2014","4,034.5","4,034.5","4,059.4","4,009.6","2.03M","0.00%"
"02/07/2014","4,034.5","4,034.5","4,059.4","4,009.6","296.68K","0.00%"
"02/06/2014","4,034.5","4,034.5","4,034.5","4,009.6","143.78K","0.00%"
"01/27/2014","4,034.5","4,034.5","4,034.5","4,009.6","224.54K","0.00%"
"01/24/2014","4,034.5","4,009.6","4,059.4","4,009.6","292.89K","0.62%"
"01/23/2014","4,009.6","4,034.5","4,059.4","4,009.6","167.09K","0.00%"
"01/22/2014","4,009.6","4,009.6","4,034.5","4,009.6","638.84K","0.00%"
"01/21/2014","4,009.6","4,059.4","4,084.3","4,009.6","531.58K","-1.83%"
"01/20/2014","4,084.3","4,109.2","4,134.1","4,059.4","950.29K","-0.61%"
"01/17/2014","4,109.2","4,009.6","4,134.1","3,984.7","1.25M","2.48%"
"01/16/2014","4,009.6","4,034.5","4,059.4","3,984.7","377.60K","-0.62%"
"01/15/2014","4,034.5","3,934.9","4,059.4","3,934.9","514.85K","0.00%"
"01/14/2014","4,034.5","3,959.8","4,034.5","3,934.9","728.38K","1.89%"
"01/13/2014","3,959.8","3,959.8","4,009.6","3,934.9","100.10K","-0.62%"
"01/10/2014","3,984.7","3,959.8","4,034.5","3,934.9","589.03K","0.63%"
"01/09/2014","3,959.8","3,910.0","3,959.8","3,910.0","266.15K","0.63%"
"01/08/2014","3,934.9","3,959.8","3,959.8","3,586.2","216.25K","-0.63%"
"01/07/2014","3,959.8","3,934.9","4,009.6","3,910.0","561.84K","1.27%"
"01/06/2014","3,910.0","3,885.1","3,934.9","3,885.1","698.17K","-0.63%"
"01/03/2014","3,934.9","3,910.0","3,934.9","3,885.1","362.50K","0.64%"
"01/02/2014","3,910.0","3,910.0","3,910.0","3,885.1","540.07K","0.64%"
"12/31/2013","3,885.1","3,885.1","3,910.0","3,885.1","608.23K","-0.64%"
"12/30/2013","3,910.0","3,910.0","3,910.0","3,885.1","1.26M","0.00%"
"12/27/2013","3,910.0","3,885.1","3,910.0","3,885.1","561.24K","0.64%"
"12/26/2013","3,885.1","3,885.1","3,910.0","3,885.1","370.75K","0.00%"
"12/25/2013","3,885.1","3,910.0","3,910.0","3,885.1","163.32K","-0.64%"
"12/24/2013","3,910.0","3,910.0","3,910.0","3,885.1","211.81K","0.00%"
"12/23/2013","3,910.0","3,885.1","3,910.0","3,885.1","434.08K","0.64%"
"12/20/2013","3,885.1","3,885.1","3,910.0","3,885.1","94.93K","-0.64%"
"12/19/2013","3,910.0","3,885.1","4,109.2","3,885.1","589.26K","0.64%"
"12/18/2013","3,885.1","3,885.1","4,009.6","3,860.2","709.31K","0.00%"
"12/17/2013","3,885.1","3,860.2","3,910.0","3,860.2","938.06K","0.00%"
"12/16/2013","3,885.1","3,885.1","4,034.5","3,860.2","564.09K","0.00%"
"12/13/2013","3,885.1","3,885.1","3,910.0","3,860.2","781.55K","0.00%"
"12/12/2013","3,885.1","3,860.2","3,910.0","3,860.2","824.87K","0.65%"
"12/11/2013","3,860.2","3,860.2","3,885.1","3,835.3","1.08M","-0.64%"
"12/10/2013","3,885.1","3,860.2","3,910.0","3,835.3","1.01M","0.00%"
"12/09/2013","3,885.1","3,885.1","3,910.0","3,860.2","256.48K","0.00%"
"12/06/2013","3,885.1","3,885.1","3,910.0","3,885.1","404.97K","-0.64%"
"12/05/2013","3,910.0","3,910.0","3,910.0","3,885.1","426.00K","0.00%"
"12/04/2013","3,910.0","3,885.1","3,910.0","3,860.2","557.08K","0.64%"
"12/03/2013","3,885.1","3,910.0","3,910.0","3,885.1","736.65K","0.00%"
"12/02/2013","3,885.1","3,885.1","3,910.0","3,860.2","249.96K","0.00%"
"11/29/2013","3,885.1","3,885.1","3,910.0","3,885.1","288.24K","0.65%"
"11/28/2013","3,860.2","3,910.0","3,910.0","3,860.2","307.89K","-1.27%"
"11/27/2013","3,910.0","3,910.0","3,934.9","3,885.1","620.85K","0.00%"
"11/26/2013","3,910.0","3,910.0","3,910.0","3,536.4","130.18K","0.00%"
"11/25/2013","3,910.0","3,885.1","3,910.0","3,885.1","472.45K","0.00%"
"11/22/2013","3,910.0","3,910.0","3,910.0","3,885.1","343.31K","0.00%"
"11/21/2013","3,910.0","3,910.0","3,910.0","3,885.1","574.68K","0.00%"
"11/20/2013","3,910.0","3,885.1","3,910.0","3,885.1","259.49K","0.00%"
"11/19/2013","3,910.0","3,885.1","3,910.0","3,885.1","68.17K","0.64%"
"11/18/2013","3,885.1","3,910.0","3,910.0","3,885.1","1.20M","0.00%"
"11/15/2013","3,885.1","3,885.1","3,910.0","3,885.1","178.18K","0.00%"
"11/14/2013","3,885.1","3,910.0","3,910.0","3,885.1","164.31K","0.00%"
"11/13/2013","3,885.1","3,885.1","3,910.0","3,860.2","326.05K","0.00%"
"11/12/2013","3,885.1","3,885.1","3,885.1","3,835.3","408.36K","0.65%"
"11/11/2013","3,860.2","3,860.2","3,910.0","3,860.2","459.43K","0.00%"
"11/08/2013","3,860.2","3,860.2","3,885.1","3,860.2","109.59K","0.00%"
"11/07/2013","3,860.2","3,885.1","3,910.0","3,860.2","93.84K","-0.64%"
"11/06/2013","3,885.1","3,885.1","3,910.0","3,885.1","209.39K","-0.64%"
"11/05/2013","3,910.0","3,860.2","3,910.0","3,860.2","214.09K","0.64%"
"11/04/2013","3,885.1","3,885.1","3,910.0","3,860.2","206.99K","-0.64%"
"11/01/2013","3,910.0","3,860.2","3,910.0","3,860.2","256.96K","0.64%"
"10/31/2013","3,885.1","3,860.2","3,885.1","3,860.2","927.03K","0.00%"
"10/30/2013","3,885.1","3,860.2","3,910.0","3,860.2","309.45K","0.00%"
