Date,Price,Open,High,Low,Vol.,Change %
04/15/2014,"93,000.00","94,000.00","94,500.00","93,000.00",636.02K,-1.06%
04/14/2014,"94,000.00","95,000.00","95,000.00","94,000.00",299.93K,-0.53%
04/11/2014,"94,500.00","92,500.00","94,500.00","91,000.00",446.33K,2.16%
04/10/2014,"92,500.00","93,000.00","95,000.00","92,500.00",780.27K,0.00%
04/08/2014,"92,500.00","89,500.00","92,500.00","89,000.00",780.47K,3.35%
04/07/2014,"89,500.00","89,000.00","91,000.00","87,500.00",891.64K,3.47%
04/04/2014,"86,500.00","84,500.00","87,000.00","84,500.00",405.13K,2.37%
04/03/2014,"84,500.00","83,500.00","84,500.00","83,000.00",284.81K,1.81%
04/02/2014,"83,000.00","83,000.00","83,500.00","82,500.00",182.42K,0.00%
04/01/2014,"83,000.00","83,500.00","84,000.00","82,500.00",366.82K,-0.60%
03/31/2014,"83,500.00","83,500.00","84,500.00","83,000.00",366.01K,1.21%
03/28/2014,"82,500.00","83,000.00","83,000.00","81,500.00",203.84K,0.61%
03/27/2014,"82,000.00","82,000.00","82,500.00","81,000.00",89.82K,0.00%
03/26/2014,"82,000.00","83,500.00","84,000.00","82,000.00",346.28K,-1.80%
03/25/2014,"83,500.00","84,500.00","84,500.00","83,500.00",366.48K,-0.60%
03/24/2014,"84,000.00","83,500.00","84,000.00","83,500.00",355.10K,0.60%
03/21/2014,"83,500.00","84,000.00","84,500.00","83,500.00",215.23K,-0.60%
03/20/2014,"84,000.00","85,500.00","85,500.00","83,500.00",234.14K,-1.18%
03/19/2014,"85,000.00","85,500.00","86,000.00","84,500.00",129.49K,0.59%
03/18/2014,"84,500.00","85,000.00","85,500.00","84,500.00",197.58K,-0.59%
03/17/2014,"85,000.00","87,000.00","87,000.00","85,000.00",219.65K,0.00%
03/14/2014,"85,000.00","85,500.00","86,500.00","85,000.00",260.77K,-0.58%
03/13/2014,"85,500.00","86,000.00","86,500.00","85,000.00",332.57K,0.00%
03/12/2014,"85,500.00","85,500.00","87,000.00","85,500.00",445.74K,0.59%
03/11/2014,"85,000.00","84,000.00","85,500.00","83,000.00",368.43K,1.80%
03/10/2014,"83,500.00","84,000.00","84,000.00","83,500.00",268.80K,0.00%
03/07/2014,"83,500.00","83,500.00","84,500.00","83,000.00",165.62K,0.00%
03/06/2014,"83,500.00","83,000.00","83,500.00","82,000.00",218.93K,1.83%
03/05/2014,"82,000.00","83,000.00","83,000.00","81,500.00",170.46K,0.61%
03/04/2014,"81,500.00","82,000.00","82,000.00","80,000.00",200.21K,-0.61%
03/03/2014,"82,000.00","83,000.00","84,500.00","82,000.00",445.36K,-1.20%
02/28/2014,"83,000.00","83,500.00","84,500.00","82,500.00",511.39K,0.00%
02/27/2014,"83,000.00","85,000.00","85,500.00","83,000.00",394.45K,-3.49%
02/26/2014,"86,000.00","87,000.00","87,000.00","84,500.00",298.98K,0.00%
02/25/2014,"86,000.00","83,000.00","86,000.00","83,000.00",895.29K,3.61%
